lon,lat,magnitude,time_string,depth,catalog_id,event_id
172.2592,-40.9673,4.3000,2016-11-18T03:17:12,10.00,0,0
174.0992,-41.7200,3.8000,2016-11-18T15:52:47,10.00,0,0
173.6855,-42.1721,3.8000,2016-11-18T10:26:12,10.00,0,0
174.9728,-41.3710,3.7000,2016-11-18T22:06:14,10.00,0,0
174.3081,-41.7639,3.6000,2016-11-18T17:55:25,10.00,0,0
173.8237,-42.0187,4.0000,2016-11-18T17:04:55,10.00,0,0
173.2194,-42.5322,4.7000,2016-11-18T07:39:16,10.00,0,0
174.3085,-41.7133,3.8000,2016-11-18T18:04:09,10.00,0,0
173.2506,-42.5552,5.5000,2016-11-18T08:32:00,10.00,0,0
173.1994,-42.4557,3.6000,2016-11-18T10:14:37,10.00,0,0
173.2491,-42.5917,4.0000,2016-11-18T09:10:42,10.00,0,0
173.2328,-42.5360,4.9000,2016-11-18T08:35:29,10.00,0,0
173.2903,-42.7610,3.7000,2016-11-18T08:49:39,10.00,0,0
173.2260,-42.5021,3.6000,2016-11-18T10:27:27,10.00,0,0
173.2498,-42.5729,3.7000,2016-11-18T13:38:17,10.00,0,0
175.2635,-41.0863,3.7000,2016-11-18T17:39:13,10.00,1,0
172.8508,-42.7053,3.6000,2016-11-18T04:59:57,10.00,1,0
172.9772,-42.5895,3.8000,2016-11-18T19:33:31,10.00,1,0
173.8937,-42.2424,3.6000,2016-11-18T20:58:48,10.00,1,0
173.0497,-42.7121,4.0000,2016-11-18T15:46:23,10.00,1,0
174.0444,-42.1698,3.6000,2016-11-18T18:50:48,10.00,1,0
172.8591,-42.7113,4.0000,2016-11-18T06:25:53,10.00,1,0
173.9779,-42.2230,3.7000,2016-11-18T20:10:18,10.00,1,0
173.0998,-42.9098,4.2000,2016-11-18T03:29:21,10.00,2,0
174.1714,-41.8474,3.6000,2016-11-18T07:57:04,10.00,2,0
174.2510,-41.7331,3.7000,2016-11-18T10:38:02,10.00,2,0
173.0402,-42.9209,3.8000,2016-11-18T03:43:46,10.00,2,0
173.1031,-42.9143,3.6000,2016-11-18T05:08:16,10.00,2,0
173.3216,-42.7791,4.9000,2016-11-18T18:20:19,10.00,3,0
173.8916,-42.0004,4.4000,2016-11-18T15:51:03,10.00,3,0
173.7594,-42.3161,4.6000,2016-11-18T18:01:12,10.00,3,0
174.1766,-41.9535,4.0000,2016-11-18T10:16:54,10.00,3,0
173.3141,-42.8203,4.6000,2016-11-18T18:33:02,10.00,3,0
173.2613,-42.7955,3.8000,2016-11-18T16:57:21,10.00,4,0
173.0686,-42.6861,4.0000,2016-11-18T05:35:30,10.00,4,0
174.1511,-41.9615,3.6000,2016-11-18T09:01:04,10.00,4,0
173.2856,-42.2862,4.6000,2016-11-18T07:04:11,10.00,4,0
174.3370,-41.7329,4.1000,2016-11-18T06:31:11,10.00,4,0
174.2051,-41.6799,3.9000,2016-11-18T23:52:46,10.00,4,0
173.0666,-42.7028,4.5000,2016-11-18T06:39:47,10.00,4,0
174.4385,-41.6776,3.7000,2016-11-18T07:00:03,10.00,4,0
174.3569,-41.7672,3.8000,2016-11-18T06:41:53,10.00,4,0
174.3364,-41.8365,3.6000,2016-11-18T09:18:09,10.00,4,0
174.3279,-41.8316,3.8000,2016-11-18T10:02:23,10.00,4,0
173.9304,-42.5013,3.6000,2016-11-18T23:43:35,10.00,5,0
173.6775,-41.9809,3.9000,2016-11-18T12:35:01,10.00,5,0
172.7684,-42.6720,3.8000,2016-11-18T01:44:20,10.00,5,0
174.1701,-41.7274,3.9000,2016-11-18T23:33:32,10.00,5,0
174.1196,-41.7235,3.8000,2016-11-18T23:24:53,10.00,5,0
173.6473,-42.4118,3.8000,2016-11-18T02:59:31,10.00,5,0
173.3400,-42.5244,4.4000,2016-11-18T19:50:33,10.00,5,0
173.3633,-42.5379,3.7000,2016-11-18T20:14:09,10.00,5,0
173.3897,-42.5338,3.6000,2016-11-18T20:37:13,10.00,5,0
173.4709,-42.1335,5.7000,2016-11-18T22:38:29,10.00,6,0
174.1605,-41.6979,3.6000,2016-11-18T21:23:41,10.00,6,0
174.5349,-41.5963,3.7000,2016-11-18T02:13:37,10.00,6,0
174.1171,-41.8355,4.0000,2016-11-18T22:22:32,10.00,6,0
174.0295,-41.6650,3.9000,2016-11-18T10:34:19,10.00,6,0
173.9270,-41.8531,3.7000,2016-11-18T07:14:17,10.00,6,0
174.1538,-41.6948,3.8000,2016-11-18T04:26:28,10.00,6,0
173.6245,-42.3305,3.6000,2016-11-18T13:51:47,10.00,6,0
173.5495,-42.1737,3.6000,2016-11-18T23:17:18,10.00,6,0
173.5371,-42.1044,3.9000,2016-11-18T23:14:37,10.00,6,0
174.5347,-41.5976,3.6000,2016-11-18T07:08:48,10.00,6,0
173.1859,-42.7443,3.8000,2016-11-18T09:41:28,10.00,7,0
172.5925,-42.6887,3.7000,2016-11-18T08:51:50,10.00,7,0
173.7693,-42.4273,3.9000,2016-11-18T21:22:10,10.00,7,0
173.7895,-42.4181,3.7000,2016-11-18T03:08:16,10.00,7,0
174.1322,-41.8462,3.8000,2016-11-18T09:59:34,10.00,7,0
172.9239,-42.6220,3.6000,2016-11-18T12:51:03,10.00,7,0
174.3360,-41.7311,3.8000,2016-11-18T08:57:11,10.00,7,0
173.1905,-42.7461,4.7000,2016-11-18T12:23:41,10.00,7,0
174.0766,-41.8303,5.0000,2016-11-18T13:25:55,10.00,7,0
173.1891,-42.7381,3.9000,2016-11-18T12:51:57,10.00,7,0
173.9822,-41.8572,3.7000,2016-11-18T13:39:43,10.00,7,0
169.2092,-44.4138,5.1000,2016-11-18T11:09:48,10.00,8,0
169.0856,-44.3240,3.6000,2016-11-18T12:28:12,10.00,8,0
169.2001,-44.4191,3.6000,2016-11-18T11:26:30,10.00,8,0
169.1916,-44.4269,3.6000,2016-11-18T11:37:34,10.00,8,0
173.7569,-42.0173,4.4000,2016-11-18T16:30:12,10.00,8,0
174.4178,-41.7362,3.6000,2016-11-18T19:24:02,10.00,8,0
174.3541,-41.7123,4.6000,2016-11-18T08:47:07,10.00,8,0
174.2659,-41.7117,3.9000,2016-11-18T13:45:22,10.00,8,0
174.2370,-41.9185,3.8000,2016-11-18T05:25:03,10.00,8,0
169.0852,-44.3125,3.6000,2016-11-18T13:42:51,10.00,8,0
173.6831,-42.0175,4.4000,2016-11-18T16:49:07,10.00,8,0
174.2348,-41.7099,5.1000,2016-11-18T14:41:55,10.00,8,0
174.2518,-41.9110,4.5000,2016-11-18T08:38:01,10.00,8,0
173.7497,-42.0386,4.2000,2016-11-18T19:43:04,10.00,8,0
174.1918,-41.6907,3.6000,2016-11-18T14:50:25,10.00,8,0
174.1448,-41.6879,4.5000,2016-11-18T14:50:14,10.00,8,0
174.1800,-41.6880,3.8000,2016-11-18T14:42:44,10.00,8,0
173.7433,-42.0499,3.9000,2016-11-18T20:53:28,10.00,8,0
174.2097,-41.7051,3.7000,2016-11-18T14:54:46,10.00,8,0
174.2144,-41.7213,3.8000,2016-11-18T20:55:38,10.00,8,0
173.3300,-42.6205,4.5000,2016-11-18T06:12:39,10.00,9,0
172.8499,-42.5685,3.7000,2016-11-18T03:00:09,10.00,9,0
173.6417,-42.1141,4.7000,2016-11-18T14:04:41,10.00,9,0
172.8559,-42.6710,5.0000,2016-11-18T05:37:37,10.00,9,0
173.5611,-42.0965,4.1000,2016-11-18T19:37:54,10.00,9,0
173.8601,-42.3517,4.2000,2016-11-18T20:22:05,10.00,9,0
174.2538,-41.7555,4.2000,2016-11-18T09:02:15,10.00,9,0
173.0673,-42.3766,4.8000,2016-11-18T16:27:56,10.00,9,0
173.3515,-42.6263,4.3000,2016-11-18T07:19:49,10.00,9,0
173.3097,-42.6668,3.9000,2016-11-18T06:21:27,10.00,9,0
173.7702,-42.0598,3.6000,2016-11-18T17:01:13,10.00,9,0
173.6476,-42.0825,3.8000,2016-11-18T14:16:46,10.00,9,0
172.8719,-42.6689,3.8000,2016-11-18T06:15:17,10.00,9,0
172.8628,-42.6544,3.7000,2016-11-18T08:04:02,10.00,9,0
173.8675,-42.3286,3.7000,2016-11-18T20:27:26,10.00,9,0
174.2302,-41.7538,3.8000,2016-11-18T09:28:33,10.00,9,0
173.3432,-42.6334,3.7000,2016-11-18T08:16:44,10.00,9,0
174.2278,-41.7594,3.6000,2016-11-18T19:44:01,10.00,9,0
173.3315,-42.6373,3.6000,2016-11-18T08:33:08,10.00,9,0
172.8492,-43.2941,3.9000,2016-11-18T00:09:13,10.00,10,0
174.2787,-41.6867,3.9000,2016-11-18T10:02:59,10.00,10,0
174.2076,-41.6652,3.6000,2016-11-18T09:00:00,10.00,10,0
166.2445,-45.6868,4.4000,2016-11-18T10:36:38,10.00,11,0
172.3213,-42.9460,3.7000,2016-11-18T10:40:31,10.00,11,0
172.8719,-42.3848,3.7000,2016-11-18T10:17:16,10.00,11,0
174.3062,-41.7490,5.1000,2016-11-18T02:30:04,10.00,11,0
173.8267,-42.2841,3.9000,2016-11-18T02:33:10,10.00,11,0
174.0706,-41.9015,4.1000,2016-11-18T00:33:39,10.00,11,0
166.2247,-45.7444,3.7000,2016-11-18T10:44:47,10.00,11,0
172.8581,-42.3628,3.6000,2016-11-18T10:20:23,10.00,11,0
166.2048,-45.7679,4.6000,2016-11-18T11:08:35,10.00,11,0
166.2559,-45.7088,4.5000,2016-11-18T16:24:22,10.00,11,0
166.2095,-45.6752,3.6000,2016-11-18T16:25:19,10.00,11,0
174.0958,-41.6202,4.5000,2016-11-18T18:13:57,10.00,12,0
174.1891,-41.5962,3.6000,2016-11-18T13:07:07,10.00,12,0
174.2779,-41.7290,3.7000,2016-11-18T14:57:48,10.00,12,0
174.1754,-41.8024,3.9000,2016-11-18T16:03:07,10.00,12,0
174.2592,-41.7648,3.8000,2016-11-18T00:39:27,10.00,12,0
174.0594,-41.7659,4.8000,2016-11-18T09:50:37,10.00,13,0
