lon,lat,magnitude,time_string,depth,catalog_id,event_id
173.0852,-42.7107,4.1000,2016-11-16T10:02:00,10.00,0,0
173.2720,-42.1534,3.8000,2016-11-16T02:04:07,10.00,0,0
172.8900,-42.6800,3.7000,2016-11-16T03:47:10,10.00,0,0
173.5913,-42.4069,4.5000,2016-11-16T07:31:36,10.00,0,0
174.2679,-41.9018,3.6000,2016-11-16T15:54:10,10.00,0,0
173.8329,-42.0407,4.7000,2016-11-16T00:23:20,10.00,0,0
173.6136,-42.2935,3.9000,2016-11-16T14:37:20,10.00,0,0
174.3188,-41.7591,5.0000,2016-11-16T19:46:55,10.00,0,0
174.1362,-41.7684,4.6000,2016-11-16T06:02:59,10.00,0,0
173.1569,-42.4526,3.7000,2016-11-16T04:05:15,10.00,0,0
173.8073,-42.0473,5.2000,2016-11-16T12:03:40,10.00,0,0
173.0144,-42.2468,3.6000,2016-11-16T02:20:04,10.00,0,0
173.7203,-42.3768,3.8000,2016-11-16T07:35:25,10.00,0,0
173.6540,-42.3721,3.9000,2016-11-16T07:50:05,10.00,0,0
174.2587,-41.8879,4.5000,2016-11-16T19:29:26,10.00,0,0
173.8894,-42.0157,3.7000,2016-11-16T00:45:03,10.00,0,0
173.5777,-42.2529,5.4000,2016-11-16T22:21:40,10.00,0,0
173.5751,-42.3076,4.7000,2016-11-16T14:41:00,10.00,0,0
174.2840,-41.7693,3.6000,2016-11-16T20:14:28,10.00,0,0
174.0941,-41.7724,4.0000,2016-11-16T06:34:35,10.00,0,0
174.1506,-41.7829,3.8000,2016-11-16T10:17:15,10.00,0,0
173.8617,-42.0544,3.7000,2016-11-16T12:42:26,10.00,0,0
173.7810,-41.9773,4.0000,2016-11-16T12:05:48,10.00,0,0
173.8561,-42.0496,3.7000,2016-11-16T12:04:32,10.00,0,0
173.8066,-42.0204,3.7000,2016-11-16T14:25:10,10.00,0,0
174.2282,-41.8134,3.9000,2016-11-16T20:10:59,10.00,0,0
174.3227,-41.8127,3.8000,2016-11-16T19:48:20,10.00,0,0
173.5108,-42.2507,4.0000,2016-11-16T23:07:08,10.00,0,0
173.5883,-42.2062,3.9000,2016-11-16T22:25:59,10.00,0,0
173.6434,-42.2540,3.6000,2016-11-16T23:39:17,10.00,0,0
173.5874,-42.3219,4.2000,2016-11-16T14:55:07,10.00,0,0
173.8549,-42.0472,3.8000,2016-11-16T12:54:16,10.00,0,0
173.7157,-42.0620,3.7000,2016-11-16T15:29:49,10.00,0,0
173.5303,-42.2383,3.9000,2016-11-16T23:43:15,10.00,0,0
173.8130,-39.4076,4.1000,2016-11-16T04:12:57,10.00,1,0
173.7828,-42.0414,3.7000,2016-11-16T08:55:34,10.00,1,0
173.7737,-41.9442,4.5000,2016-11-16T19:23:58,10.00,1,0
173.7437,-42.3317,3.8000,2016-11-16T02:36:34,10.00,1,0
173.0907,-42.6359,3.6000,2016-11-16T23:35:41,10.00,1,0
173.2661,-42.5322,3.7000,2016-11-16T05:40:53,10.00,1,0
174.1878,-41.7714,3.7000,2016-11-16T00:45:57,10.00,1,0
173.9628,-41.8291,4.0000,2016-11-16T19:54:47,10.00,1,0
174.1169,-42.1442,3.8000,2016-11-16T03:18:14,10.00,1,0
173.6885,-39.3977,4.4000,2016-11-16T05:09:00,10.00,1,0
173.7565,-41.9942,4.1000,2016-11-16T09:06:51,10.00,1,0
173.6782,-41.9550,3.7000,2016-11-16T19:40:10,10.00,1,0
173.8081,-41.9121,4.1000,2016-11-16T19:47:29,10.00,1,0
173.0787,-42.6246,4.3000,2016-11-16T23:40:57,10.00,1,0
174.1121,-42.1854,3.6000,2016-11-16T03:19:13,10.00,1,0
174.1046,-42.1515,4.0000,2016-11-16T05:19:33,10.00,1,0
173.1090,-42.4640,4.0000,2016-11-16T23:42:09,10.00,1,0
173.7452,-42.4305,3.6000,2016-11-16T10:13:51,10.00,2,0
174.2447,-41.7249,3.9000,2016-11-16T03:38:28,10.00,2,0
173.6987,-42.1817,3.6000,2016-11-16T04:36:48,10.00,2,0
173.7983,-42.2238,3.6000,2016-11-16T22:06:57,10.00,2,0
174.3257,-41.7399,4.6000,2016-11-16T07:48:37,10.00,2,0
174.1491,-41.9947,4.5000,2016-11-16T21:04:31,10.00,2,0
172.3474,-40.9232,3.8000,2016-11-16T10:54:43,10.00,3,0
173.7382,-42.4181,3.8000,2016-11-16T02:50:42,10.00,3,0
174.0749,-41.8176,4.6000,2016-11-16T13:02:27,10.00,3,0
173.3458,-41.8732,4.1000,2016-11-16T12:57:46,10.00,3,0
173.7562,-42.1855,4.0000,2016-11-16T02:28:49,10.00,3,0
174.2172,-41.7561,3.6000,2016-11-16T08:27:10,10.00,3,0
173.3240,-42.5250,3.7000,2016-11-16T12:07:43,10.00,3,0
174.2496,-41.8387,3.6000,2016-11-16T08:01:23,10.00,3,0
174.3532,-41.7147,5.1000,2016-11-16T19:08:54,10.00,3,0
173.8430,-41.7681,4.4000,2016-11-16T09:56:17,10.00,3,0
173.6759,-42.3414,3.9000,2016-11-16T18:35:48,10.00,3,0
173.9668,-42.4139,3.9000,2016-11-16T20:19:35,10.00,3,0
174.0306,-42.3882,3.9000,2016-11-16T04:56:41,10.00,3,0
174.0123,-42.4035,3.7000,2016-11-16T18:31:55,10.00,3,0
174.2227,-41.7417,3.6000,2016-11-16T08:46:40,10.00,3,0
174.3341,-41.7250,3.6000,2016-11-16T19:22:58,10.00,3,0
174.3269,-41.8457,3.6000,2016-11-16T10:45:53,10.00,3,0
172.9615,-42.5629,3.6000,2016-11-16T02:39:39,10.00,4,0
174.5028,-41.8023,4.5000,2016-11-16T03:08:41,10.00,4,0
173.4153,-42.5293,4.2000,2016-11-16T18:54:36,10.00,4,0
174.1209,-41.7069,3.6000,2016-11-16T01:15:42,10.00,4,0
174.3961,-41.6665,3.7000,2016-11-16T03:04:22,10.00,4,0
172.9960,-42.9347,3.7000,2016-11-16T18:27:53,10.00,5,0
172.9224,-42.6910,3.6000,2016-11-16T08:12:29,10.00,5,0
174.0341,-42.0463,3.6000,2016-11-16T00:24:20,10.00,5,0
174.2833,-41.7468,4.5000,2016-11-16T23:28:08,10.00,5,0
