lon,lat,magnitude,time_string,depth,catalog_id,event_id
173.1771,-42.5618,3.6000,2016-11-20T22:13:33,10.00,0,0
166.8371,-45.3197,3.6000,2016-11-20T10:29:06,10.00,1,0
173.8798,-42.3218,4.0000,2016-11-20T21:23:09,10.00,1,0
166.8610,-45.3085,3.8000,2016-11-20T11:10:04,10.00,1,0
172.8545,-42.7698,3.9000,2016-11-20T14:37:53,10.00,2,0
173.6789,-42.1674,3.8000,2016-11-20T01:53:51,10.00,2,0
173.4896,-42.1671,4.2000,2016-11-20T03:21:45,10.00,2,0
173.1482,-42.4057,4.5000,2016-11-20T22:19:23,10.00,2,0
172.9902,-42.5242,3.6000,2016-11-20T02:27:36,10.00,2,0
174.0882,-41.7068,4.1000,2016-11-20T01:14:00,10.00,2,0
173.1884,-42.5466,3.9000,2016-11-20T03:10:31,10.00,2,0
173.6847,-42.1564,3.9000,2016-11-20T15:07:13,10.00,2,0
173.2021,-42.4362,3.8000,2016-11-20T22:52:34,10.00,2,0
173.1003,-42.3824,4.5000,2016-11-20T22:46:10,10.00,2,0
176.8282,-39.7153,3.7000,2016-11-20T21:49:52,10.00,3,0
176.9232,-39.7723,3.6000,2016-11-20T21:50:43,10.00,3,0
172.9637,-42.8256,4.1000,2016-11-20T22:11:22,10.00,3,0
173.0692,-42.5340,3.9000,2016-11-20T00:02:07,10.00,3,0
173.6047,-42.2733,3.9000,2016-11-20T15:06:56,10.00,3,0
176.8882,-39.7799,4.1000,2016-11-20T23:17:11,10.00,3,0
173.0128,-42.8466,3.6000,2016-11-20T22:29:53,10.00,3,0
176.9265,-39.7634,3.7000,2016-11-20T23:18:59,10.00,3,0
176.9279,-39.7823,5.4000,2016-11-20T23:17:30,10.00,3,0
176.9148,-39.7758,3.6000,2016-11-20T23:20:31,10.00,3,0
176.9228,-39.8011,4.1000,2016-11-20T23:18:49,10.00,3,0
174.0327,-41.7282,3.8000,2016-11-20T18:28:30,10.00,4,0
173.6346,-42.0983,4.0000,2016-11-20T04:39:34,10.00,4,0
173.5477,-42.4201,4.2000,2016-11-20T18:35:55,10.00,4,0
174.0427,-41.7342,3.6000,2016-11-20T18:41:50,10.00,4,0
174.1807,-41.7533,4.3000,2016-11-20T01:43:54,10.00,5,0
174.1632,-41.7372,4.4000,2016-11-20T05:17:13,10.00,5,0
173.0291,-42.6685,5.1000,2016-11-20T01:08:22,10.00,6,0
173.7990,-42.3937,4.3000,2016-11-20T17:28:20,10.00,6,0
173.8415,-42.3669,3.6000,2016-11-20T14:00:03,10.00,6,0
174.2847,-41.7655,3.7000,2016-11-20T02:31:03,10.00,6,0
173.0335,-42.6561,3.7000,2016-11-20T02:21:14,10.00,6,0
173.0277,-42.6758,4.5000,2016-11-20T04:15:39,10.00,6,0
173.1302,-42.4958,4.6000,2016-11-20T08:05:47,10.00,6,0
173.0589,-42.6737,4.6000,2016-11-20T01:11:57,10.00,6,0
172.9731,-42.7386,4.1000,2016-11-20T01:41:35,10.00,6,0
173.1283,-42.8195,4.6000,2016-11-20T02:10:05,10.00,6,0
173.0476,-42.7080,4.6000,2016-11-20T04:20:01,10.00,6,0
173.0326,-42.6238,4.0000,2016-11-20T04:20:09,10.00,6,0
173.0262,-42.6912,3.7000,2016-11-20T04:41:00,10.00,6,0
173.0055,-42.6718,3.7000,2016-11-20T04:34:06,10.00,6,0
172.9761,-42.6605,3.7000,2016-11-20T04:23:09,10.00,6,0
173.1746,-42.4439,3.9000,2016-11-20T08:08:05,10.00,6,0
173.1566,-42.6578,4.9000,2016-11-20T17:50:28,10.00,6,0
173.0803,-42.6848,3.8000,2016-11-20T01:55:54,10.00,6,0
173.1182,-42.6548,4.1000,2016-11-20T17:59:50,10.00,6,0
173.1762,-42.6533,3.9000,2016-11-20T19:57:04,10.00,6,0
173.0992,-42.6725,3.9000,2016-11-20T03:42:34,10.00,6,0
173.1710,-42.6724,3.7000,2016-11-20T19:59:18,10.00,6,0
174.3283,-41.7213,3.6000,2016-11-20T22:35:53,10.00,7,0
173.8271,-42.3137,4.5000,2016-11-20T10:51:54,10.00,7,0
173.8257,-42.3162,4.1000,2016-11-20T21:06:44,10.00,7,0
173.9196,-42.2944,3.9000,2016-11-20T11:49:38,10.00,7,0
173.0743,-42.6019,4.1000,2016-11-20T01:51:37,10.00,8,0
173.1787,-42.6193,3.7000,2016-11-20T20:24:29,10.00,8,0
174.0790,-42.0355,3.6000,2016-11-20T01:03:00,10.00,8,0
173.7502,-41.9760,3.7000,2016-11-20T12:54:16,10.00,9,0
172.7492,-42.8467,3.8000,2016-11-20T07:49:47,10.00,9,0
174.3161,-41.7221,3.8000,2016-11-20T21:16:59,10.00,9,0
173.8473,-41.9824,4.7000,2016-11-20T02:45:18,10.00,9,0
172.7683,-42.8493,3.7000,2016-11-20T07:57:15,10.00,9,0
172.9621,-42.6754,3.8000,2016-11-20T04:23:03,10.00,10,0
173.6457,-42.2715,3.7000,2016-11-20T17:51:01,10.00,10,0
172.7705,-42.6535,4.2000,2016-11-20T20:27:52,10.00,10,0
174.2882,-41.6535,4.7000,2016-11-20T13:09:41,10.00,10,0
174.2235,-41.7009,3.6000,2016-11-20T11:55:59,10.00,10,0
173.6296,-42.2858,3.6000,2016-11-20T17:51:20,10.00,10,0
173.7950,-42.2643,5.9000,2016-11-20T05:01:26,10.00,11,0
174.3995,-41.7203,3.9000,2016-11-20T16:13:29,10.00,11,0
173.7807,-42.2792,4.8000,2016-11-20T05:34:10,10.00,11,0
173.6902,-42.2668,4.0000,2016-11-20T05:45:29,10.00,11,0
173.8675,-42.2612,3.6000,2016-11-20T05:01:35,10.00,11,0
