lon,lat,magnitude,time_string,depth,catalog_id,event_id
173.1723,-42.9706,4.8000,2016-11-15T09:37:27,10.00,0,0
172.8410,-42.6917,3.7000,2016-11-15T10:39:39,10.00,0,0
173.2177,-42.1262,3.9000,2016-11-15T21:59:23,10.00,0,0
173.8863,-41.8358,3.6000,2016-11-15T19:50:59,10.00,0,0
174.2463,-41.8697,4.3000,2016-11-15T05:35:07,10.00,0,0
174.2645,-41.8259,4.3000,2016-11-15T05:35:06,10.00,0,0
173.1310,-42.5282,4.1000,2016-11-15T10:47:38,10.00,0,0
173.7698,-42.4163,4.6000,2016-11-15T10:46:32,10.00,0,0
173.2152,-42.4423,4.0000,2016-11-15T00:13:02,10.00,0,0
173.7096,-42.2509,4.4000,2016-11-15T09:23:51,10.00,0,0
173.5774,-42.1583,3.6000,2016-11-15T08:30:14,10.00,0,0
174.2541,-41.8266,4.1000,2016-11-15T03:08:51,10.00,0,0
174.3066,-41.7589,4.7000,2016-11-15T19:20:11,10.00,0,0
173.9113,-42.3802,3.6000,2016-11-15T15:16:02,10.00,0,0
172.7205,-42.6344,4.8000,2016-11-15T23:35:52,10.00,0,0
172.9579,-42.9145,4.1000,2016-11-15T09:41:19,10.00,0,0
172.9110,-43.0286,3.9000,2016-11-15T09:37:51,10.00,0,0
173.3996,-42.9908,4.3000,2016-11-15T09:43:54,10.00,0,0
172.8382,-42.6899,3.8000,2016-11-15T10:39:52,10.00,0,0
174.3644,-41.8036,3.8000,2016-11-15T05:38:17,10.00,0,0
173.7345,-42.4261,3.6000,2016-11-15T10:48:13,10.00,0,0
173.7309,-42.9893,4.2000,2016-11-15T11:12:25,10.00,0,0
173.7089,-42.1899,3.9000,2016-11-15T18:09:40,10.00,0,0
173.6472,-42.2728,4.3000,2016-11-15T23:51:13,10.00,0,0
174.2686,-41.7799,3.6000,2016-11-15T19:37:24,10.00,0,0
174.3869,-41.8265,3.6000,2016-11-15T06:35:27,10.00,0,0
173.7451,-42.9996,4.0000,2016-11-15T14:41:18,10.00,0,0
173.7387,-43.0011,3.8000,2016-11-15T13:57:49,10.00,0,0
172.8281,-42.6847,3.7000,2016-11-15T02:07:36,10.00,1,0
172.8685,-42.6835,4.9000,2016-11-15T08:38:49,10.00,1,0
173.7536,-42.4847,4.3000,2016-11-15T06:21:49,10.00,1,0
174.0054,-41.9856,3.6000,2016-11-15T05:14:19,10.00,1,0
173.6897,-42.0916,4.3000,2016-11-15T04:20:26,10.00,1,0
173.5683,-42.0707,3.6000,2016-11-15T08:10:18,10.00,1,0
173.5367,-42.3220,3.6000,2016-11-15T08:06:17,10.00,1,0
173.1633,-42.5315,4.0000,2016-11-15T08:20:51,10.00,1,0
173.5017,-42.2934,4.1000,2016-11-15T07:43:26,10.00,1,0
