lon,lat,magnitude,time_string,depth,catalog_id,event_id
173.7119,-41.9997,3.7000,2016-11-19T20:26:33,10.00,0,0
173.7233,-42.2546,3.6000,2016-11-19T16:43:25,10.00,0,0
173.1208,-42.5229,4.0000,2016-11-19T21:48:24,10.00,1,0
174.3168,-41.7951,4.2000,2016-11-19T13:36:12,10.00,1,0
173.6086,-42.2764,6.8000,2016-11-19T04:46:02,10.00,1,0
174.9028,-41.3931,5.2000,2016-11-19T02:19:54,10.00,1,0
174.2605,-41.6984,4.3000,2016-11-19T20:38:30,10.00,1,0
173.7961,-42.5214,4.6000,2016-11-19T03:56:45,10.00,1,0
173.6580,-42.3398,3.9000,2016-11-19T07:35:35,10.00,1,0
173.6816,-42.3168,4.5000,2016-11-19T05:50:06,10.00,1,0
173.5792,-42.0940,4.0000,2016-11-19T14:30:39,10.00,1,0
173.6747,-42.2863,4.2000,2016-11-19T05:07:01,10.00,1,0
173.6560,-42.2761,5.2000,2016-11-19T04:59:16,10.00,1,0
173.6367,-42.3372,4.1000,2016-11-19T05:02:44,10.00,1,0
173.5581,-42.2634,4.0000,2016-11-19T09:08:17,10.00,1,0
173.6360,-42.2848,3.6000,2016-11-19T22:41:20,10.00,1,0
173.6657,-42.2467,3.6000,2016-11-19T05:13:17,10.00,1,0
174.8867,-41.3969,4.4000,2016-11-19T02:32:14,10.00,1,0
174.8868,-41.4031,3.6000,2016-11-19T03:05:58,10.00,1,0
173.7506,-42.4858,4.2000,2016-11-19T14:07:12,10.00,1,0
173.5619,-42.0871,3.6000,2016-11-19T15:44:50,10.00,1,0
173.6426,-42.2983,3.6000,2016-11-19T06:31:04,10.00,1,0
173.7481,-42.2328,3.9000,2016-11-19T05:01:06,10.00,1,0
173.6270,-42.3724,3.8000,2016-11-19T05:03:11,10.00,1,0
173.4804,-42.5588,3.8000,2016-11-19T06:32:32,10.00,1,0
173.6389,-42.2902,3.8000,2016-11-19T22:42:22,10.00,1,0
173.0368,-42.2221,3.7000,2016-11-19T14:33:43,10.00,2,0
173.6308,-42.4665,3.8000,2016-11-19T01:42:47,10.00,2,0
172.9556,-42.6746,3.6000,2016-11-19T09:47:06,10.00,2,0
174.0451,-42.0224,3.7000,2016-11-19T16:08:14,10.00,2,0
173.9881,-42.0154,3.6000,2016-11-19T21:51:09,10.00,2,0
173.0480,-42.2820,4.0000,2016-11-19T16:57:58,10.00,2,0
172.9868,-42.2634,4.9000,2016-11-19T17:18:19,10.00,2,0
172.9783,-42.2461,3.6000,2016-11-19T19:16:17,10.00,2,0
173.1921,-42.5304,3.7000,2016-11-19T09:24:33,10.00,3,0
173.1749,-42.5308,4.6000,2016-11-19T10:35:57,10.00,3,0
173.1891,-42.5327,3.8000,2016-11-19T10:58:18,10.00,3,0
175.4707,-40.9077,4.0000,2016-11-19T21:05:39,10.00,4,0
174.2001,-41.7857,3.8000,2016-11-19T08:11:32,10.00,4,0
173.9397,-42.3897,3.6000,2016-11-19T00:02:08,10.00,4,0
172.8478,-42.6278,3.8000,2016-11-19T05:27:34,10.00,5,0
174.2741,-42.4848,4.4000,2016-11-19T02:38:37,10.00,5,0
173.2083,-42.4420,4.2000,2016-11-19T22:46:01,10.00,6,0
173.7074,-42.2797,4.2000,2016-11-19T03:20:03,10.00,6,0
174.1724,-41.9592,3.7000,2016-11-19T03:00:03,10.00,6,0
174.0504,-41.8340,4.1000,2016-11-19T00:37:36,10.00,6,0
174.0259,-41.9330,3.8000,2016-11-19T23:14:49,10.00,6,0
174.2629,-41.6815,5.1000,2016-11-19T15:42:35,10.00,6,0
174.1602,-41.9713,3.7000,2016-11-19T10:11:13,10.00,6,0
172.7297,-42.6792,4.7000,2016-11-19T18:35:03,10.00,7,0
174.4744,-41.5999,3.7000,2016-11-19T12:54:51,10.00,7,0
174.2088,-41.8175,3.6000,2016-11-19T23:34:23,10.00,7,0
