lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.2,166.3,-46.1,-46.0,0.0,40.0,5.0,10.5,3.2849941724203378e-04,0.000000,1
166.2,166.3,-46.0,-45.9,0.0,40.0,5.0,10.5,3.3319940890424863e-04,0.000000,1
166.2,166.3,-45.9,-45.8,0.0,40.0,5.0,10.5,3.1549944030399293e-04,0.000000,1
166.2,166.3,-45.8,-45.7,0.0,40.0,5.0,10.5,3.5009937892370175e-04,0.000000,1
166.2,166.3,-45.7,-45.6,0.0,40.0,5.0,10.5,4.2379924818013371e-04,0.000000,1
166.2,166.3,-45.6,-45.5,0.0,40.0,5.0,10.5,5.1459908710121949e-04,0.000000,1
166.2,166.3,-45.5,-45.4,0.0,40.0,5.0,10.5,5.3129905747547202e-04,0.000000,1
166.2,166.3,-45.4,-45.3,0.0,40.0,5.0,10.5,4.9759911725916586e-04,0.000000,1
166.2,166.3,-45.3,-45.2,0.0,40.0,5.0,10.5,5.3429905215348153e-04,0.000000,1
166.2,166.3,-45.2,-45.1,0.0,40.0,5.0,10.5,5.2899906155566469e-04,0.000000,1
166.3,166.4,-46.9,-46.8,0.0,40.0,5.0,10.5,1.0869980716654207e-04,0.000000,1
166.3,166.4,-46.8,-46.7,0.0,40.0,5.0,10.5,1.2139978463678203e-04,0.000000,1
166.3,166.4,-46.7,-46.6,0.0,40.0,5.0,10.5,1.3489976068782454e-04,0.000000,1
166.3,166.4,-46.6,-46.5,0.0,40.0,5.0,10.5,1.4699973922246260e-04,0.000000,1
166.3,166.4,-46.5,-46.4,0.0,40.0,5.0,10.5,1.8539967110098345e-04,0.000000,1
166.3,166.4,-46.4,-46.3,0.0,40.0,5.0,10.5,1.9349965673160893e-04,0.000000,1
166.3,166.4,-46.3,-46.2,0.0,40.0,5.0,10.5,2.1069962621886307e-04,0.000000,1
166.3,166.4,-46.2,-46.1,0.0,40.0,5.0,10.5,2.3669958009494489e-04,0.000000,1
166.3,166.4,-46.1,-46.0,0.0,40.0,5.0,10.5,2.7259951640845788e-04,0.000000,1
166.3,166.4,-46.0,-45.9,0.0,40.0,5.0,10.5,2.9519947631612896e-04,0.000000,1
166.3,166.4,-45.9,-45.8,0.0,40.0,5.0,10.5,3.1369944349718718e-04,0.000000,1
166.3,166.4,-45.8,-45.7,0.0,40.0,5.0,10.5,3.5359937271471279e-04,0.000000,1
166.3,166.4,-45.7,-45.6,0.0,40.0,5.0,10.5,4.0709927780588112e-04,0.000000,1
166.3,166.4,-45.6,-45.5,0.0,40.0,5.0,10.5,5.0209910927618011e-04,0.000000,1
166.3,166.4,-45.5,-45.4,0.0,40.0,5.0,10.5,5.6689899432118402e-04,0.000000,1
166.3,166.4,-45.4,-45.3,0.0,40.0,5.0,10.5,5.6349900035277333e-04,0.000000,1
166.3,166.4,-45.3,-45.2,0.0,40.0,5.0,10.5,6.0429892797370175e-04,0.000000,1
166.3,166.4,-45.2,-45.1,0.0,40.0,5.0,10.5,5.7789897480721864e-04,0.000000,1
166.3,166.4,-45.1,-45.0,0.0,40.0,5.0,10.5,4.8579913819232881e-04,0.000000,1
166.4,166.5,-47.0,-46.9,0.0,40.0,5.0,10.5,8.7639844526915786e-05,0.000000,1
166.4,166.5,-46.9,-46.8,0.0,40.0,5.0,10.5,9.4839831754138455e-05,0.000000,1
166.4,166.5,-46.8,-46.7,0.0,40.0,5.0,10.5,1.0619981160153422e-04,0.000000,1
166.4,166.5,-46.7,-46.6,0.0,40.0,5.0,10.5,1.2749977381540126e-04,0.000000,1
166.4,166.5,-46.6,-46.5,0.0,40.0,5.0,10.5,1.6359970977411484e-04,0.000000,1
166.4,166.5,-46.5,-46.4,0.0,40.0,5.0,10.5,1.8519967145578283e-04,0.000000,1
166.4,166.5,-46.4,-46.3,0.0,40.0,5.0,10.5,1.7749968511555859e-04,0.000000,1
166.4,166.5,-46.3,-46.2,0.0,40.0,5.0,10.5,1.9079966152140044e-04,0.000000,1
166.4,166.5,-46.2,-46.1,0.0,40.0,5.0,10.5,2.1229962338046809e-04,0.000000,1
166.4,166.5,-46.1,-46.0,0.0,40.0,5.0,10.5,2.3889957619215182e-04,0.000000,1
166.4,166.5,-46.0,-45.9,0.0,40.0,5.0,10.5,2.7309951552145946e-04,0.000000,1
166.4,166.5,-45.9,-45.8,0.0,40.0,5.0,10.5,3.3629940340485832e-04,0.000000,1
166.4,166.5,-45.8,-45.7,0.0,40.0,5.0,10.5,4.1239926840369779e-04,0.000000,1
166.4,166.5,-45.7,-45.6,0.0,40.0,5.0,10.5,4.2439924711573559e-04,0.000000,1
166.4,166.5,-45.6,-45.5,0.0,40.0,5.0,10.5,4.7839915131990551e-04,0.000000,1
166.4,166.5,-45.5,-45.4,0.0,40.0,5.0,10.5,5.6689899432118402e-04,0.000000,1
166.4,166.5,-45.4,-45.3,0.0,40.0,5.0,10.5,6.3309887688259238e-04,0.000000,1
166.4,166.5,-45.3,-45.2,0.0,40.0,5.0,10.5,6.5199884335405184e-04,0.000000,1
166.4,166.5,-45.2,-45.1,0.0,40.0,5.0,10.5,5.9289894819726584e-04,0.000000,1
166.4,166.5,-45.1,-45.0,0.0,40.0,5.0,10.5,5.0879909739040118e-04,0.000000,1
166.4,166.5,-45.0,-44.9,0.0,40.0,5.0,10.5,4.5309919620202592e-04,0.000000,1
166.5,166.6,-47.1,-47.0,0.0,40.0,5.0,10.5,7.2639871136868581e-05,0.000000,1
166.5,166.6,-47.0,-46.9,0.0,40.0,5.0,10.5,7.6709863916701401e-05,0.000000,1
166.5,166.6,-46.9,-46.8,0.0,40.0,5.0,10.5,8.3019852722781261e-05,0.000000,1
166.5,166.6,-46.8,-46.7,0.0,40.0,5.0,10.5,9.4349832623396920e-05,0.000000,1
166.5,166.6,-46.7,-46.6,0.0,40.0,5.0,10.5,1.2419977966959087e-04,0.000000,1
166.5,166.6,-46.6,-46.5,0.0,40.0,5.0,10.5,2.2769959606091657e-04,0.000000,1
166.5,166.6,-46.5,-46.4,0.0,40.0,5.0,10.5,1.9659965123221870e-04,0.000000,1
166.5,166.6,-46.4,-46.3,0.0,40.0,5.0,10.5,1.6509970711311956e-04,0.000000,1
166.5,166.6,-46.3,-46.2,0.0,40.0,5.0,10.5,1.7199969487254128e-04,0.000000,1
166.5,166.6,-46.2,-46.1,0.0,40.0,5.0,10.5,1.9249965850560579e-04,0.000000,1
166.5,166.6,-46.1,-46.0,0.0,40.0,5.0,10.5,2.1769961380088511e-04,0.000000,1
166.5,166.6,-46.0,-45.9,0.0,40.0,5.0,10.5,2.5979953911561761e-04,0.000000,1
166.5,166.6,-45.9,-45.8,0.0,40.0,5.0,10.5,3.8919930956042478e-04,0.000000,1
166.5,166.6,-45.8,-45.7,0.0,40.0,5.0,10.5,5.8069896984002745e-04,0.000000,1
166.5,166.6,-45.7,-45.6,0.0,40.0,5.0,10.5,4.9549912098455933e-04,0.000000,1
166.5,166.6,-45.6,-45.5,0.0,40.0,5.0,10.5,4.7639915486789918e-04,0.000000,1
166.5,166.6,-45.5,-45.4,0.0,40.0,5.0,10.5,5.4799902784972445e-04,0.000000,1
